ADM4_EN;ADM4_PCODE;ADM4_REF;ADM4ALT1_EN;ADM4ALT2_EN;ADM3_EN;ADM3_PCODE;ADM2_EN;ADM2_PCODE;ADM1_EN;ADM1_PCODE;ADM0_EN;ADM0_PCODE;DATE;VALIDON;VALIDTO;ADM1_ID;ADM2_ID;ADM3_ID;AREA_SQKM
10;ZA2155010;;;;Nyandeni;ZA2155;O.R.Tambo;ZA215;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC15;EC155;46,48911406
9;ZA2930009;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;9,405836921
10;ZA2930010;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;3,572718737
11;ZA2930011;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;7,719606655
12;ZA2930012;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;30,16407071
13;ZA2930013;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;2,218131542
14;ZA2930014;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;4,044109768
33;ZA3091033;;;;Sol Plaatjie;ZA3091;Frances Baard;ZA309;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC9;NC091;1,180776256
1;ZA3092001;;;;Dikgatlong;ZA3092;Frances Baard;ZA309;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC9;NC092;0,900019919
2;ZA3092002;;;;Dikgatlong;ZA3092;Frances Baard;ZA309;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC9;NC092;145,3482834
3;ZA3092003;;;;Dikgatlong;ZA3092;Frances Baard;ZA309;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC9;NC092;257,3576159
12;ZA3451012;;;;Joe Morolong;ZA3451;John Taolo Gaetsewe;ZA345;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC45;NC451;55,3817967
13;ZA3451013;;;;Joe Morolong;ZA3451;John Taolo Gaetsewe;ZA345;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC45;NC451;679,3408325
14;ZA3451014;;;;Joe Morolong;ZA3451;John Taolo Gaetsewe;ZA345;Nothern Cape;ZA3;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;NC;DC45;NC451;631,3755075
8;ZA2106008;;;;Sundays River Valley;ZA2106;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC106;1192,759016
1;ZA2108001;;;;Kouga;ZA2108;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC108;499,6581279
2;ZA2108002;;;;Kouga;ZA2108;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC108;1,150156832
3;ZA2108003;;;;Kouga;ZA2108;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC108;1,097538787
4;ZA2108004;;;;Kouga;ZA2108;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC108;307,7358218
5;ZA2108005;;;;Kouga;ZA2108;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC108;1,714138151
6;ZA2108006;;;;Kouga;ZA2108;Cacadu;ZA210;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;DC10;EC108;1,127647503
52;ZA2930052;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;54,53275407
53;ZA2930053;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;766,884673
54;ZA2930054;;;;Nelson Mandela Bay;ZA2930;Nelson Mandela Bay;ZA293;Eastern Cape;ZA2;South Africa;ZA;2018-12-27 00:00:00;2020-11-09 00:00:00;;EC;NMA;NMA;7,328059342
